id,key,value,type
148992754,created_by,JOSM,regular
148992835,destination,Mandai Avenue,regular
148992835,highway,motorway_junction,regular
148992835,name,Sembawang,regular
148992835,ref,8B,regular
148992889,created_by,JOSM,regular
148992906,created_by,JOSM,regular
148992921,created_by,JOSM,regular
148992926,created_by,JOSM,regular
148992943,created_by,JOSM,regular
148992957,created_by,JOSM,regular
148992963,created_by,JOSM,regular
148992977,created_by,JOSM,regular
148992996,destination,Upper Thomson Road,regular
148992996,highway,motorway_junction,regular
148992996,name,Upper Thomson,regular
148992996,ref,5,regular
148993050,created_by,JOSM,regular
148993054,created_by,JOSM,regular
148993073,created_by,JOSM,regular
148993078,created_by,JOSM,regular
148993098,created_by,JOSM,regular
148997038,exit_to,Tampines Expressway;Seletar Aerospace Way;Jalan Kayu,regular
148997038,highway,motorway_junction,regular
148997038,name,Seletar,regular
148997038,ref,1,regular
148997049,created_by,JOSM,regular
148997053,created_by,JOSM,regular
148997090,created_by,JOSM,regular
157992392,created_by,JOSM,regular
157992617,exit_to,Mandai Road,regular
157992617,highway,motorway_junction,regular
157992617,name,Mandai,regular
157992617,ref,7,regular
157992649,created_by,JOSM,regular
157992777,created_by,JOSM,regular
157992923,created_by,JOSM,regular
157993130,created_by,JOSM,regular
157993158,created_by,JOSM,regular
158003471,created_by,JOSM,regular
158003493,created_by,JOSM,regular
158003507,created_by,JOSM,regular
158003529,created_by,JOSM,regular
158003547,created_by,JOSM,regular
158003573,created_by,JOSM,regular
158003665,exit_to,Bukit Panjang Road,regular
158003665,highway,motorway_junction,regular
158003665,name,Zhenghua,regular
158003665,ref,3,regular
158014608,created_by,JOSM,regular
158014728,created_by,JOSM,regular
158014812,created_by,JOSM,regular
158014842,exit_to,Kranji Expressway,regular
158014842,highway,motorway_junction,regular
158014842,name,Gali Batu,regular
158014842,ref,5,regular
158015033,destination,Mandai Road,regular
158015033,highway,motorway_junction,regular
158015033,name,Mandai,regular
158015033,ref,7,regular
158015155,created_by,JOSM,regular
158015182,created_by,JOSM,regular
158015313,created_by,JOSM,regular
158015351,created_by,JOSM,regular
158015636,exit_to,Dairy Farm Road,regular
158015636,highway,motorway_junction,regular
158015636,name,Dairy Farm,regular
158015636,ref,2,regular
158015721,created_by,JOSM,regular
158015739,created_by,JOSM,regular
158015891,exit_to,Woodlands Avenue 3,regular
158015891,highway,motorway_junction,regular
158015891,name,Woodlands,regular
158015891,ref,10A,regular
158016148,created_by,JOSM,regular
158016216,created_by,JOSM,regular
158016335,created_by,JOSM,regular
158016356,exit_to,Bukit Panjang Road,regular
158016356,highway,motorway_junction,regular
158016356,name,Zhenghua,regular
158016356,ref,3,regular
158016468,created_by,JOSM,regular
158016522,exit_to,Woodlands Road;Woodlands Centre Road,regular
158016522,highway,motorway_junction,regular
158016522,name,Woodlands Crossing,regular
158016522,ref,10B,regular
158042588,created_by,JOSM,regular
158042641,created_by,JOSM,regular
158042745,created_by,JOSM,regular
158042771,created_by,JOSM,regular
158042797,created_by,JOSM,regular
158042825,created_by,JOSM,regular
158043038,created_by,JOSM,regular
158043067,created_by,JOSM,regular
158043086,created_by,JOSM,regular
158043108,created_by,JOSM,regular
158043148,created_by,JOSM,regular
158043157,created_by,JOSM,regular
158043161,created_by,JOSM,regular
158043168,created_by,JOSM,regular
158043218,highway,motorway_junction,regular
158043247,exit_to,Woodlands Road,regular
158043247,highway,motorway_junction,regular
158043247,name,Yew Tee,regular
158043247,en,Yew Tee,name
158043247,zh,油池,name
158043247,ref,2,regular
158043332,exit_to,Choa Chu Kang Way;Choa Chu Kang Drive,regular
158043332,highway,motorway_junction,regular
158043332,name,Choa Chu Kang East,regular
158043332,ref,3,regular
158043396,created_by,JOSM,regular
158043403,created_by,JOSM,regular
158043444,exit_to,Brickland Road;Sungei Tengah;Old Choa Chu Kang Road,regular
158043444,highway,motorway_junction,regular
158043444,name,Lam Sam,regular
158043444,ref,5,regular
158043522,created_by,JOSM,regular
158043908,created_by,JOSM,regular
158043942,created_by,JOSM,regular
158043948,created_by,JOSM,regular
158043956,created_by,JOSM,regular
158043974,created_by,JOSM,regular
158044053,created_by,JOSM,regular
158044073,created_by,JOSM,regular
158044096,destination,Choa Chu Kang Way;Choa Chu Kang Drive,regular
158044096,highway,motorway_junction,regular
158044096,name,Choa Chu Kang West,regular
158044096,ref,4,regular
158044119,created_by,JOSM,regular
158044158,exit_to,Woodlands Road,regular
158044158,highway,motorway_junction,regular
158044158,name,Yew Tee,regular
158044158,en,Yew Tee,name
158044158,zh,油池,name
158044158,ref,2,regular
158044300,destination,Brickland Road;Sungei Tengah;Old Choa Chu Kang Road,regular
158044300,highway,motorway_junction,regular
158044300,name,Lam Sam,regular
158044300,ref,5,regular
158044326,created_by,JOSM,regular
158044518,created_by,JOSM,regular
158045218,created_by,JOSM,regular
158045293,created_by,JOSM,regular
158045421,created_by,JOSM,regular
158045597,created_by,JOSM,regular
158045635,created_by,JOSM,regular
158045772,created_by,JOSM,regular
158046300,exit_to,Kranji Expressway,regular
158046300,highway,motorway_junction,regular
158046300,name,Gali Batu,regular
158046300,ref,5,regular
158052654,exit_to,Bukit Timah Expressway,regular
158052654,highway,motorway_junction,regular
158052654,name,Gali Batu,regular
158052654,ref,1,regular
158052685,created_by,JOSM,regular
158052709,created_by,JOSM,regular
158052735,created_by,JOSM,regular
158052773,created_by,JOSM,regular
158052803,created_by,JOSM,regular
158052828,created_by,JOSM,regular
158052861,created_by,JOSM,regular
